id,tournament_id,match_date,team1,team2,location,match_name,status,match_time,type_match,created_at,updated_at,completed_and_captured,currently_live,sportsmonk_id,tournament_league_id,tournament_stage_id,tournament_season_id,match_note,points_status,leaderboard_processed
5e3ae9ac-7580-4c21-9451-aaf5f19f8cd3,d9a8de82-5e7b-4ad2-a5f7-de620c79030e,2026-03-08,TBC,TBC,,TBC vs TBC,Scheduled,2026-03-08 13:30:00+00,T20I,2026-02-01 04:25:15.436+00,2026-02-01 04:25:15.436+00,false,false,68562,17,6442,1770,,pending,false
b4d26f20-f3e5-430f-8d3c-14d4159128af,d9a8de82-5e7b-4ad2-a5f7-de620c79030e,2026-03-05,TBC,TBC,,TBC vs TBC,Scheduled,2026-03-05 13:30:00+00,T20I,2026-02-01 04:25:15.263+00,2026-02-01 04:25:15.263+00,false,false,68561,17,6442,1770,,pending,false
12422b04-448b-4332-8c86-31855e604ae6,d9a8de82-5e7b-4ad2-a5f7-de620c79030e,2026-03-04,TBC,TBC,,TBC vs TBC,Scheduled,2026-03-04 13:30:00+00,T20I,2026-02-01 04:25:15.091+00,2026-02-01 04:25:15.091+00,false,false,68560,17,6442,1770,,pending,false
8208a602-420b-410c-907a-1ba8126cdd02,d9a8de82-5e7b-4ad2-a5f7-de620c79030e,2026-03-01,TBC,TBC,,TBC vs TBC,Scheduled,2026-03-01 13:30:00+00,T20I,2026-02-01 04:25:14.916+00,2026-02-01 04:25:14.916+00,false,false,68559,17,6442,1770,,pending,false
984a151a-135c-47aa-8fad-0396f4a68372,d9a8de82-5e7b-4ad2-a5f7-de620c79030e,2026-03-01,TBC,TBC,,TBC vs TBC,Scheduled,2026-03-01 09:30:00+00,T20I,2026-02-01 04:25:14.744+00,2026-02-01 04:25:14.744+00,false,false,68558,17,6442,1770,,pending,false
0d7ba775-cf1f-43ab-866a-9140864b73d6,d9a8de82-5e7b-4ad2-a5f7-de620c79030e,2026-02-28,TBC,TBC,,TBC vs TBC,Scheduled,2026-02-28 13:30:00+00,T20I,2026-02-01 04:25:14.566+00,2026-02-01 04:25:14.566+00,false,false,68557,17,6442,1770,,pending,false
4cf70124-445b-47ab-a81e-5943401641f9,d9a8de82-5e7b-4ad2-a5f7-de620c79030e,2026-02-27,TBC,TBC,,TBC vs TBC,Scheduled,2026-02-27 13:30:00+00,T20I,2026-02-01 04:25:14.391+00,2026-02-01 04:25:14.391+00,false,false,68556,17,6442,1770,,pending,false
69c9c0ab-d959-430f-bc65-9ec60b72d7ee,d9a8de82-5e7b-4ad2-a5f7-de620c79030e,2026-02-26,TBC,TBC,,TBC vs TBC,Scheduled,2026-02-26 13:30:00+00,T20I,2026-02-01 04:25:14.219+00,2026-02-01 04:25:14.219+00,false,false,68555,17,6442,1770,,pending,false
84ac016c-b3d4-47bc-8b1b-e76859a6a139,d9a8de82-5e7b-4ad2-a5f7-de620c79030e,2026-02-26,TBC,TBC,,TBC vs TBC,Scheduled,2026-02-26 09:30:00+00,T20I,2026-02-01 04:25:14.044+00,2026-02-01 04:25:14.044+00,false,false,68554,17,6442,1770,,pending,false
45f8f6a5-ad91-4231-9cdf-a41f3995ba13,d9a8de82-5e7b-4ad2-a5f7-de620c79030e,2026-02-25,TBC,TBC,,TBC vs TBC,Scheduled,2026-02-25 13:30:00+00,T20I,2026-02-01 04:25:13.869+00,2026-02-01 04:25:13.869+00,false,false,68553,17,6442,1770,,pending,false
b30c7b93-eea1-4a87-85de-87db18ad8f59,d9a8de82-5e7b-4ad2-a5f7-de620c79030e,2026-02-24,TBC,TBC,,TBC vs TBC,Scheduled,2026-02-24 13:30:00+00,T20I,2026-02-01 04:25:13.697+00,2026-02-01 04:25:13.697+00,false,false,68552,17,6442,1770,,pending,false
